"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"58","King, Farm Bureau talk ACA, agriculture - Spencer Daily Reporter https://t.co/HdNhXKWuyK",FALSE,0,NA,2016-10-28 07:14:06,FALSE,NA,"791900832841076737",NA,"<a href=""http://dlvr.it"" rel=""nofollow"">dlvr.it</a>","Agriculture24x7",0,FALSE,FALSE,NA,NA
"59","'#Agriculture in #Africa: needs to become more #healthy &amp; #profitable' https://t.co/MQ54u927Ax",FALSE,0,NA,2016-10-28 07:14:00,FALSE,NA,"791900808950480897",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","KmgChristiaens",0,FALSE,FALSE,NA,NA
"60","RT @FarmersGuardian: Lloyds Bank is offering agriculture students the chance to enrol in a 10-week summer placement 

https://t.co/UabGNPVG…",FALSE,0,NA,2016-10-28 07:13:39,FALSE,NA,"791900721952194560",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","fcn_glyn",2,TRUE,FALSE,NA,NA
"61","RT @Duterte24x7: Japanese businessmen to invest in manufacturing, agriculture sectors — Duterte | https://t.co/gj7eMddjrG #PartnerForChange",FALSE,0,NA,2016-10-28 07:13:37,FALSE,NA,"791900713471254528",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","mdcoplus",1,TRUE,FALSE,NA,NA
"62","RT @liwatrustkenya: Upcoming event:
LIWA Agriculture and Agro-Processing Sector Board Forum and Field Trip at Latia Resource Center on 11th…",FALSE,0,NA,2016-10-28 07:13:31,FALSE,NA,"791900687173033984",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Village2Nation",1,TRUE,FALSE,NA,NA
"63","RT @DoubleEph: $6m 2,000 hectare farm abandoned. Why? Because it is govt owned | Rivers abandons multi-million naira banana farm https://t.…",FALSE,0,NA,2016-10-28 07:13:18,FALSE,NA,"791900635222474754",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","barth_ihewuezi",6,TRUE,FALSE,NA,NA
"64","RT @claudia_huber: ""Best way to recognize #agriculture is a decent price for our produce"" G Montenegro @FedeCafeteros #coffee #cocoa #livin…",FALSE,0,NA,2016-10-28 07:13:06,FALSE,NA,"791900583359840256",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","FabioMSegura",1,TRUE,FALSE,NA,NA
"65","#AgribusinessCouncilOfOregon Ruddenklau Farms - I am Oregon Agriculture. Read Blog: https://t.co/3tix1HlWpt",FALSE,0,NA,2016-10-28 07:13:03,FALSE,NA,"791900571338813440",NA,"<a href=""https://www.owler.com"" rel=""nofollow""> NGO</a>","_ngoo",0,FALSE,FALSE,NA,NA
"66","RT @SunjkaLawOffice: It was our great pleasure to participate in the Enabling the Business of Agriculture 2017 project of the @WorldBank ht…",FALSE,0,NA,2016-10-28 07:12:47,FALSE,NA,"791900505303838720",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","JungleJuliaNS",1,TRUE,FALSE,NA,NA
"67","RT @Cowspiracy: Animal agriculture is responsible for up to 91% of Amazon destruction. // #repost thanks for… https://t.co/ILu8c42KOo",FALSE,0,NA,2016-10-28 07:12:34,FALSE,NA,"791900450555658240",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","georgejlouis",60,TRUE,FALSE,NA,NA
"68","RT @EcographyJourna: Agriculture rivals biomes in predicting global species richness https://t.co/OtQNPA0GI3 #ecology #SAR #modelling #biog…",FALSE,0,NA,2016-10-28 07:12:09,FALSE,NA,"791900343806361600",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","TomNCollins",5,TRUE,FALSE,NA,NA
"69","EU farmers dream of the digital age https://t.co/7uUHzzmttm",FALSE,0,NA,2016-10-28 07:12:00,FALSE,NA,"791900307378802688",NA,"<a href=""http://bufferapp.com"" rel=""nofollow"">Buffer</a>","digiEU",0,FALSE,FALSE,NA,NA
"70","RT @TechMoranLtd: Innovation in agriculture and adoption of mobile mobile in rural Africa will help solve poverty #InclusiveGrowth",FALSE,0,NA,2016-10-28 07:11:57,FALSE,NA,"791900294879842304",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","degrp_growth",4,TRUE,FALSE,NA,NA
"71","RT @claudia_huber: Tomorrow we will continue #treccex2016 on #youth inclusion focusing on #agriculture, #cocoa and #rural areas! @trecc_ci…",FALSE,0,NA,2016-10-28 07:11:50,FALSE,NA,"791900263405748224",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","FabioMSegura",4,TRUE,FALSE,NA,NA
"72","RT @ByegmENG: #Turkey and #Iran will cooperate in agriculture to reach $30 billion trade volume. https://t.co/LcvGgPmiVt https://t.co/e0EAm…",FALSE,0,NA,2016-10-28 07:11:38,FALSE,NA,"791900216131739648",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","TurkishCGDubai",23,TRUE,FALSE,NA,NA
"73","RT @DoubleEph: $6m 2,000 hectare farm abandoned. Why? Because it is govt owned | Rivers abandons multi-million naira banana farm https://t.…",FALSE,0,NA,2016-10-28 07:11:37,FALSE,NA,"791900209219502080",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","OCEdewor",6,TRUE,FALSE,NA,NA
"74","RT @Cowspiracy: Animal agriculture is responsible for up to 91% of Amazon destruction. // #repost thanks for… https://t.co/ILu8c42KOo",FALSE,0,NA,2016-10-28 07:11:33,FALSE,NA,"791900194321342465",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","wolfpack2205",60,TRUE,FALSE,NA,NA
"75","Made in Israel: Agriculture https://t.co/HHT2TOQQ4W via @YouTube",FALSE,0,NA,2016-10-28 07:11:19,FALSE,NA,"791900132799152128",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","pbyawps",0,FALSE,FALSE,NA,NA
"76","RT @IndiBlu: @Warwick_Long @ABCRural I'm grateful to be completing Mental Health First Aid training, Warragul 2&amp;9Nov https://t.co/dXq0uaPzH…",FALSE,0,NA,2016-10-28 07:11:13,FALSE,NA,"791900109470470144",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Warwick_Long",1,TRUE,FALSE,NA,NA
"77","RT @TechMoranLtd: The fixed quota to agriculture distorted the market as even the other sectors didn't perform so well #InclusiveGrowth",FALSE,0,NA,2016-10-28 07:11:11,FALSE,NA,"791900102067617792",NA,"<a href=""http://www.samruston.co.uk"" rel=""nofollow"">Flamingo for Android</a>","TheABFortune",1,TRUE,FALSE,NA,NA
"78","RT @CGIAR: Sustainable intensification in smallholder agriculture: An integrated systems research approach: https://t.co/WYvw3O8fsf @WorldF…",FALSE,0,NA,2016-10-28 07:11:03,FALSE,NA,"791900069113032704",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","AgropreneurNig",15,TRUE,FALSE,NA,NA
